prompt,Nike,Adidas,Hoka,New Balance,Jordan
What are the best running shoes in 2025?,1,1,1,0,0
Top sneakers for runners this year?,1,1,1,0,0
What are the best basketball shoes today?,1,1,0,0,1
Top performance sneakers for gym workouts?,1,1,1,0,0
Which brands dominate the sneaker market?,1,1,1,0,1
Best shoes for marathon runners?,1,1,1,0,0
Best shoes for hikers?,0,1,1,0,0
Sneakers with the best durability in 2025?,1,1,0,0,0
Top brands for comfort and support in sneakers?,1,0,0,0,0
Which running shoes are trending right now?,1,1,1,0,0
